"time","Q_m3pd"
2022-11-24,37.0028155935171
2022-11-25,25.901970915462
2022-11-26,18.1313796408234
2022-11-27,39.2216766583333
2022-11-28,27.4551736608333
2022-11-29,19.2186215625833
2022-11-30,2231.73901054415
2022-12-01,1562.2173073809
2022-12-02,1093.55211516663
2022-12-03,765.486480616643
2022-12-04,535.84053643165
2022-12-05,375.088375502155
2022-12-06,262.561862851508
2022-12-07,183.793303996056
2022-12-08,128.655312797239
2022-12-09,90.0587189580674
2022-12-10,63.0411032706472
2022-12-11,44.128772289453
2022-12-12,30.8901406026171
2022-12-13,21.623098421832
2022-12-14,15.1361688952824
2022-12-15,3053.43378294867
2022-12-16,2137.40364806407
2022-12-17,1496.18255364485
2022-12-18,1047.32778755139
2022-12-19,733.129451285975
2022-12-20,513.190615900183
2022-12-21,359.233431130128
2022-12-22,617.180287654582
2022-12-23,432.026201358207
2022-12-24,302.418340950745
2022-12-25,211.692838665521
2022-12-26,148.184987065865
2022-12-27,103.729490946106
2022-12-28,72.6106436622739
2022-12-29,50.8274505635917
2022-12-30,35.5792153945142
2022-12-31,24.9054507761599
2023-01-01,17.433815543312
2023-01-02,12.2036708803184
2023-01-03,8.54256961622286
2023-01-04,5.979798731356
2023-01-05,4.1858591119492
2023-01-06,2.93010137836444
2023-01-07,2.05107096485511
2023-01-08,789.439995869834
2023-01-09,552.607997108884
2023-01-10,386.825597976219
2023-01-11,270.777918583353
2023-01-12,189.544543008347
2023-01-13,132.681180105843
2023-01-14,92.8768260740901
2023-01-15,65.0137782518631
2023-01-16,45.5096447763041
2023-01-17,31.8567513434129
2023-01-18,22.299725940389
2023-01-19,15.6098081582723
2023-01-20,10.9268657107906
2023-01-21,7.64880599755344
2023-01-22,5.35416419828741
2023-01-23,3.74791493880119
2023-01-24,2.62354045716083
2023-01-25,1380.08855662721
2023-01-26,966.061989639044
2023-01-27,676.243392747331
2023-01-28,473.370374923132
2023-01-29,331.359262446192
2023-01-30,231.951483712334
2023-01-31,162.366038598634
2023-02-01,113.656227019044
2023-02-02,79.5593589133307
2023-02-03,55.6915512393315
2023-02-04,38.9840858675321
2023-02-05,27.2888601072724
2023-02-06,19.1022020750907
2023-02-07,13.3715414525635
2023-02-08,9.36007901679445
2023-02-09,6.55205531175611
2023-02-10,4.58643871822928
2023-02-11,3.2105071027605
2023-02-12,2820.72479005528
2023-02-13,1974.5073530387
2023-02-14,1382.15514712709
2023-02-15,967.508602988963
2023-02-16,677.256022092274
