"datetime","reference_datetime","model_id","site_id","parameter","family","prediction","variable","depth_m","duration","project_id"
2024-07-28,2024-07-28,"fDOM_AR_dwh","fcre",15,"ensemble",18.8394115362786,"fDOM_QSU_mean",1.6,"P1D","vera4cast"
2024-07-29,2024-07-28,"fDOM_AR_dwh","fcre",15,"ensemble",19.4711808436767,"fDOM_QSU_mean",1.6,"P1D","vera4cast"
2024-07-30,2024-07-28,"fDOM_AR_dwh","fcre",15,"ensemble",18.1276449763867,"fDOM_QSU_mean",1.6,"P1D","vera4cast"
2024-07-31,2024-07-28,"fDOM_AR_dwh","fcre",15,"ensemble",17.2618831644638,"fDOM_QSU_mean",1.6,"P1D","vera4cast"
2024-08-01,2024-07-28,"fDOM_AR_dwh","fcre",15,"ensemble",17.2842306022874,"fDOM_QSU_mean",1.6,"P1D","vera4cast"
2024-08-02,2024-07-28,"fDOM_AR_dwh","fcre",15,"ensemble",17.0121766551721,"fDOM_QSU_mean",1.6,"P1D","vera4cast"
2024-08-03,2024-07-28,"fDOM_AR_dwh","fcre",15,"ensemble",17.9729142449264,"fDOM_QSU_mean",1.6,"P1D","vera4cast"
2024-08-04,2024-07-28,"fDOM_AR_dwh","fcre",15,"ensemble",16.6986205672092,"fDOM_QSU_mean",1.6,"P1D","vera4cast"
2024-08-05,2024-07-28,"fDOM_AR_dwh","fcre",15,"ensemble",17.3476130829637,"fDOM_QSU_mean",1.6,"P1D","vera4cast"
2024-08-06,2024-07-28,"fDOM_AR_dwh","fcre",15,"ensemble",17.146567028892,"fDOM_QSU_mean",1.6,"P1D","vera4cast"
2024-08-07,2024-07-28,"fDOM_AR_dwh","fcre",15,"ensemble",15.9377696119712,"fDOM_QSU_mean",1.6,"P1D","vera4cast"
2024-08-08,2024-07-28,"fDOM_AR_dwh","fcre",15,"ensemble",15.4528445687838,"fDOM_QSU_mean",1.6,"P1D","vera4cast"
2024-08-09,2024-07-28,"fDOM_AR_dwh","fcre",15,"ensemble",15.0228823373933,"fDOM_QSU_mean",1.6,"P1D","vera4cast"
2024-08-10,2024-07-28,"fDOM_AR_dwh","fcre",15,"ensemble",13.6396777306615,"fDOM_QSU_mean",1.6,"P1D","vera4cast"
2024-08-11,2024-07-28,"fDOM_AR_dwh","fcre",15,"ensemble",13.2041922769378,"fDOM_QSU_mean",1.6,"P1D","vera4cast"
2024-08-12,2024-07-28,"fDOM_AR_dwh","fcre",15,"ensemble",13.9467641050082,"fDOM_QSU_mean",1.6,"P1D","vera4cast"
2024-08-13,2024-07-28,"fDOM_AR_dwh","fcre",15,"ensemble",14.7629117462492,"fDOM_QSU_mean",1.6,"P1D","vera4cast"
2024-07-28,2024-07-28,"fDOM_AR_dwh","fcre",16,"ensemble",18.6812446265354,"fDOM_QSU_mean",1.6,"P1D","vera4cast"
2024-07-29,2024-07-28,"fDOM_AR_dwh","fcre",16,"ensemble",18.5809521589945,"fDOM_QSU_mean",1.6,"P1D","vera4cast"
2024-07-30,2024-07-28,"fDOM_AR_dwh","fcre",16,"ensemble",18.566965529769,"fDOM_QSU_mean",1.6,"P1D","vera4cast"
2024-07-31,2024-07-28,"fDOM_AR_dwh","fcre",16,"ensemble",17.4956096660211,"fDOM_QSU_mean",1.6,"P1D","vera4cast"
2024-08-01,2024-07-28,"fDOM_AR_dwh","fcre",16,"ensemble",18.9094501999375,"fDOM_QSU_mean",1.6,"P1D","vera4cast"
2024-08-02,2024-07-28,"fDOM_AR_dwh","fcre",16,"ensemble",19.7754201936799,"fDOM_QSU_mean",1.6,"P1D","vera4cast"
2024-08-03,2024-07-28,"fDOM_AR_dwh","fcre",16,"ensemble",19.6695944621828,"fDOM_QSU_mean",1.6,"P1D","vera4cast"
2024-08-04,2024-07-28,"fDOM_AR_dwh","fcre",16,"ensemble",20.2988613452035,"fDOM_QSU_mean",1.6,"P1D","vera4cast"
2024-08-05,2024-07-28,"fDOM_AR_dwh","fcre",16,"ensemble",21.1973472976406,"fDOM_QSU_mean",1.6,"P1D","vera4cast"
2024-08-06,2024-07-28,"fDOM_AR_dwh","fcre",16,"ensemble",21.0330490006841,"fDOM_QSU_mean",1.6,"P1D","vera4cast"
2024-08-07,2024-07-28,"fDOM_AR_dwh","fcre",16,"ensemble",21.1910620907468,"fDOM_QSU_mean",1.6,"P1D","vera4cast"
2024-08-08,2024-07-28,"fDOM_AR_dwh","fcre",16,"ensemble",22.2783114260602,"fDOM_QSU_mean",1.6,"P1D","vera4cast"
2024-08-09,2024-07-28,"fDOM_AR_dwh","fcre",16,"ensemble",23.1111730301229,"fDOM_QSU_mean",1.6,"P1D","vera4cast"
2024-08-10,2024-07-28,"fDOM_AR_dwh","fcre",16,"ensemble",24.0525082116614,"fDOM_QSU_mean",1.6,"P1D","vera4cast"
2024-08-11,2024-07-28,"fDOM_AR_dwh","fcre",16,"ensemble",24.1269202465451,"fDOM_QSU_mean",1.6,"P1D","vera4cast"
2024-08-12,2024-07-28,"fDOM_AR_dwh","fcre",16,"ensemble",24.136428034189,"fDOM_QSU_mean",1.6,"P1D","vera4cast"
2024-08-13,2024-07-28,"fDOM_AR_dwh","fcre",16,"ensemble",22.8820921154278,"fDOM_QSU_mean",1.6,"P1D","vera4cast"
2024-07-28,2024-07-28,"fDOM_AR_dwh","fcre",17,"ensemble",18.608063371084,"fDOM_QSU_mean",1.6,"P1D","vera4cast"
2024-07-29,2024-07-28,"fDOM_AR_dwh","fcre",17,"ensemble",19.7902151188601,"fDOM_QSU_mean",1.6,"P1D","vera4cast"
2024-07-30,2024-07-28,"fDOM_AR_dwh","fcre",17,"ensemble",20.1589808538494,"fDOM_QSU_mean",1.6,"P1D","vera4cast"
2024-07-31,2024-07-28,"fDOM_AR_dwh","fcre",17,"ensemble",19.096935860212,"fDOM_QSU_mean",1.6,"P1D","vera4cast"
2024-08-01,2024-07-28,"fDOM_AR_dwh","fcre",17,"ensemble",18.3639985017473,"fDOM_QSU_mean",1.6,"P1D","vera4cast"
2024-08-02,2024-07-28,"fDOM_AR_dwh","fcre",17,"ensemble",16.5645266381914,"fDOM_QSU_mean",1.6,"P1D","vera4cast"
2024-08-03,2024-07-28,"fDOM_AR_dwh","fcre",17,"ensemble",16.3994362301015,"fDOM_QSU_mean",1.6,"P1D","vera4cast"
2024-08-04,2024-07-28,"fDOM_AR_dwh","fcre",17,"ensemble",14.6592226903133,"fDOM_QSU_mean",1.6,"P1D","vera4cast"
2024-08-05,2024-07-28,"fDOM_AR_dwh","fcre",17,"ensemble",14.5547243347742,"fDOM_QSU_mean",1.6,"P1D","vera4cast"
